Nombre,Cargo,Grados,Codigo
Francisco_Gutierrez,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '02-06-2017'}, {'Grado': 'Magister', 'Institucion': 'Ecole_Centrale_de_Nantes', 'fecha': '07-11-2012'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '31-08-2012'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-05-2012'}]",DCC
Aidan_Hogan,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Universitas_Hiberniae_Nationalis', 'fecha': '24-03-2011'}]",DCC
Luis_Mateu,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_Paris_Vi', 'fecha': '31-12-1993'}, {'Grado': 'Ingeniero_Civil_Informatico', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-12-1987'}]",DCC
Andres_Munoz,Instructor_Adjunto,"[{'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '07-11-2000'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '15-08-2000'}]",DCC
Federico_Olmedo,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_Politecnica_de_Madrid', 'fecha': '07-03-2014'}, {'Grado': 'Licenciado_en_Ciencias', 'Institucion': 'Universidad_Nacional_de_Rosario', 'fecha': '22-12-2008'}]",DCC
Jose_Piquer,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Ecole_Polytechnique_Paris', 'fecha': '21-03-1991'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '07-11-1986'}]",DCC
Jose_Saavedra,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '08-03-2013'}, {'Grado': 'Computacion', 'Institucion': 'UNIVERSIDAD_NACIONAL_DE_TRUJILLO', 'fecha': '21-07-2006'}]",DCC
Gonzalo_Navarro,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '18-12-1998'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '18-04-1995'}]",DCC
Daniel_Perovich,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '30-09-2014'}, {'Grado': 'Magister', 'Institucion': 'Universidad_de_la_Republica', 'fecha': '19-03-2009'}, {'Grado': 'Ingeniero_en_Computacion_e_Informatica', 'Institucion': 'Universidad_de_la_Republica', 'fecha': '14-06-2001'}]",DCC
Barbara_Poblete,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Universitat_Pompeu_Fabra', 'fecha': '23-02-2010'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '17-12-2004'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '17-12-2004'}]",DCC
