Titulo,Codigo,Creditos,Requisitos,Profesores,Departamento
Pensamiento Estadístico,CC6104,6,"['CC5206', 'MA3403', 'MA3401', 'CC5205', 'EL3104', 'IN3141']",['Felipe_Bravo'],DCC
Deep Learning,CC6204,6,['CC5205'],['Valentin_Barriere'],DCC
Innovación y Emprendimiento,CC6603,6,['CC4401'],['Hugo_Beltran'],DCC
Introducción al Trabajo de Título,CC6907,6,"['CC4402', 'CR267']",['Cecilia_Bastarrica'],DCC
Introducción al Trabajo de Título,CC6908,3,"['CR267', 'EI4205S', 'EI2090', 'CC5401']",['Cecilia_Bastarrica'],DCC
Trabajo de Título,CC6909,21,"['CC6908', 'EI4205', 'EI2090', 'CC5402']","['Aidan_Hogan, Eduardo_Graells, Matías_Toro, Sebastián_Ferrada, Gonzalo_Navarro, Luciano_Radrigan, Nancy_Hitschfeld, Andrés_Muñoz, Francisco_Gutiérrez, Sergio_Ochoa, Jocelyn_Simmonds, Andrés_Abeliuk, José_Saavedra, Cecilia_Bastarrica, Luis_Mateu, Benjamín_Bustos, Felipe_Bravo, Javier_Bustos, Iván_Sipiran']",DCC
Trabajo de Título,CC6919,CC6907,['CC6909'],"['Nancy_Hitschfeld, Francisco_Gutiérrez, Claudio_Gutiérrez, Benjamín_Bustos, Jocelyn_Simmonds, Andrés_Abeliuk, Éric_Tanter, Eduardo_Godoy, Aidan_Hogan, José_Saavedra, Nelson_Baloian, Iván_Sipiran, Cecilia_Bastarrica']",DCC
Pasantía de Investigación I,CC7010,3,,['Gonzalo_Navarro'],DCC
Pasantía de Investigación II,CC7015,3,,['Gonzalo_Navarro'],DCC
Investigación Dirigida,CC7020,6,,['Gonzalo_Navarro'],DCC
"Introducción a Coq: Lógica, Tipos y Verificación",CC7125,6,"['CC4101', 'MA3705', 'MA4702', 'AUTOR']",['Éric_Tanter'],DCC
La Web de Datos,CC7220,6,['CC3201'],['Aidan_Hogan'],DCC
Estructuras de Datos Comprimidas,CC7320,6,"['CC4102', 'AUTOR']",['Gonzalo_Navarro'],DCC
Análisis y Uso de Algoritmos Geométricos,CC7513,CC4102/AUTOR,['Electivo_Magíster_y_Doctorado_en_Computación'],['Nancy_Hitschfeld'],DCC
"Investigación en Ciencias de la Computación (Métodos, Técnicas, Perspectivas)",CC7910,6,"['CC4102', 'AUTOR']",['Claudio_Gutiérrez'],DCC
Introducción a la Tesis,CC7920,18,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis I,CC7970,,['CC797'],['Nancy_Hitschfeld'],DCC
Trabajo de Tesis II,CC7980,,['CC798'],['Nancy_Hitschfeld'],DCC
Trabajo de Tesis I,CC8910,30,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis II,CC8920,30,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis III,CC8930,30,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis IV,CC8940,30,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis V,CC8950,30,,['Gonzalo_Navarro'],DCC
Trabajo de Tesis VI,CC8960,30,,['Gonzalo_Navarro'],DCC
Gestión de Proyectos de TI,CC63B,,['Curso_Exclusivo_del_Magister_Profesional'],['Sergio_Ochoa'],DCC
Negociación de Proyectos de TI,CC63C,3,,['Marcelo_Cristián'],DCC
Gestión del Conocimiento,CC63E,,"['""CURSO_EXCLUSIVO_DEL_MAGISTER_PROFESIONAL""']",['Marcelo_Cristián'],DCC
Liderando Transformaciones desde el Sentido,CC63Y,,['Electivo_Magíster_Profesional'],['Veronica_Virgilio'],DCC
Algoritmos Evolutivos,CC66M,,,['Alexandre_Bergel'],DCC
Inteligencia Artificial en Robótica,CC66O,,,['Rodrigo_Verschae'],DCC
Procesamiento de Lenguaje Natural,CC66Q,,,['Andrés_Abeliuk'],DCC
Taller de Proyecto IA,CC66R,,,['Juan_Manuel'],DCC
Machine Learning,CC66S,,['Electivo_Magíster_Profesional'],"['María_José, Ignacio_Meza, Felipe_Bravo']",DCC
Reconocimiento Visual con Deep Learning,CC66T,,['Curso_exclusivo_del_Magíster_Profesional'],['José_Saavedra'],DCC
Redes Neuronales y Deep Learning,CC66U,,['Curso_exclusivo_del_Magíster_Profesional'],['Iván_Sipiran'],DCC
Avances en Bases de Datos,CC73F,,['SOLO_MAGISTER_PROFESIONAL'],"['Sergio_Ochoa, Rodrigo_Frez']",DCC
Taller de Gestión de Proyectos de TI,CC73J,,['Electivo_del_Magíster_Profesional'],"['Sergio_Ochoa, Tomas_Vera']",DCC
Seminario de Proyectos de TI I,CC79E,6,,"['Sergio_Ochoa, Benjamín_Bustos']",DCC
Seminario de Proyectos de TI II,CC79F,6,['CC79E'],"['Sergio_Ochoa, Benjamín_Bustos']",DCC
Proyecto de Grado I,CC79G,21,['CC79F'],"['Sergio_Ochoa, Benjamín_Bustos']",DCC
Proyecto de Grado II,CC79H,21,['CC79G'],"['Sergio_Ochoa, Benjamín_Bustos']",DCC
